"data";"1THB";"1USD";"1AUD";"1HKD";"1CAD";"1NZD";"1SGD";"1EUR";"100HUF";"1CHF";"1GBP";"1UAH";"100JPY";"1CZK";"1DKK";"100ISK";"1NOK";"1SEK";"1HRK";"1RON";"1BGN";"1TRY";"1ILS";"100CLP";"1PHP";"1MXN";"1ZAR";"1BRL";"1MYR";"1RUB";"10000IDR";"100INR";"100KRW";"1CNY";"1XDR"
2016-01-27;0,1149;4,1144;2,8953;0,528;2,9118;2,6752;2,8816;4,473;1,4247;4,0516;5,8855;0,1655;3,4801;0,1655;0,5994;3,1556;0,4723;0,4824;0,5832;0,9878;2,287;1,3722;1,0351;0,5728;0,0859;0,2231;0,2509;1,0104;0,9693;0,0523;2,9642;6,0491;0,3422;0,6278;5,688
2016-01-28;0,1141;4,0872;2,8966;0,5246;2,908;2,6453;2,8663;4,4588;1,4235;4,0265;5,8507;0,1625;3,4411;0,165;0,5975;3,1433;0,4729;0,4803;0,5821;0,9823;2,2798;1,3728;1,0317;0,5717;0,0855;0,2228;0,2512;0,9955;0,9739;0,0537;2,946;6,0084;0,3391;0,624;5,6559
2016-01-29;0,114;4,0723;2,8878;0,5229;2,9027;2,6491;2,8614;4,4405;1,4224;3,9949;5,8443;0,1594;3,369;0,1643;0,595;3,1359;0,4701;0,4773;0,5795;0,9803;2,2704;1,3733;1,0305;0,5735;0,0854;0,2236;0,2535;1,0004;0,9811;0,0539;2,9567;5,9995;0,338;0,6215;5,6302
2016-02-01;0,1141;4,0638;2,869;0,5219;2,8916;2,6277;2,8525;4,4104;1,4188;3,973;5,7868;0,1596;3,3524;0,1631;0,591;3,1169;0,4691;0,4744;0,5758;0,9724;2,255;1,3664;1,0262;0,5693;0,0852;0,2227;0,2535;1,0162;0,9766;0,0534;2,9785;5,9851;0,3377;0,6178;5,5756
2016-02-02;0,1127;4,0333;2,8403;0,5182;2,8738;2,6146;2,8261;4,4015;1,4139;3,952;5,7918;0,1569;3,3419;0,1629;0,5898;3,104;0,4617;0,4718;0,5745;0,9756;2,2504;1,3628;1,0186;0,5671;0,0843;0,2194;0,2507;1,0181;0,9553;0,0509;2,9465;5,9315;0,3327;0,6129;5,5719
2016-02-03;0,1125;4,0325;2,8416;0,5174;2,8748;2,6544;2,8159;4,4024;1,4159;3,9642;5,8291;0,1566;3,3725;0,1629;0,5899;3,1047;0,4629;0,4713;0,5744;0,9755;2,2509;1,3633;1,016;0,5645;0,0842;0,2183;0,2487;1,0115;0,956;0,0512;2,9291;5,916;0,3311;0,613;5,5732
2016-02-04;0,111;3,9492;2,8479;0,5072;2,8791;2,6461;2,8079;4,4078;1,4232;3,9431;5,7822;0,1533;3,3549;0,1631;0,5906;3,0921;0,4646;0,4696;0,5752;0,9776;2,2536;1,3617;1,0103;0,5598;0,0828;0,2179;0,2481;1,0133;0,9558;0,0518;2,8954;5,8409;0,3314;0,6004;5,5808
2016-02-05;0,1111;3,942;2,8342;0,5061;2,8734;2,6483;2,8208;4,4135;1,4253;3,9756;5,7326;0,1522;3,3723;0,1633;0,5914;3,1005;0,4629;0,4698;0,5763;0,981;2,2566;1,3561;1,0157;0,5659;0,0828;0,2163;0,2484;1,0137;0,9529;0,0514;2,8935;5,8252;0,3302;0,5995;5,5036
2016-02-08;0,1113;3,9525;2,8028;0,5076;2,8434;2,6211;2,8127;4,4185;1,4242;3,9869;5,7338;0,1529;3,3858;0,1633;0,592;3,1051;0,4617;0,47;0,5773;0,9871;2,2592;1,3483;1,0182;0,5608;0,0827;0,2136;0,2467;1,0133;0,9497;0,0513;2,9009;5,8215;0,328;0,6012;5,5157
2016-02-09;0,1121;3,9771;2,7971;0,5102;2,8616;2,6255;2,8331;4,449;1,4285;4,0447;5,7425;0,1532;3,45;0,1644;0,5961;3,1243;0,4627;0,4688;0,5821;0,9912;2,2747;1,3483;1,0237;0,558;0,0833;0,213;0,2464;1,0207;0,9544;0,0506;2,9237;5,8436;0,3296;0,6063;5,5879
