"data";"1THB";"1USD";"1AUD";"1HKD";"1CAD";"1NZD";"1SGD";"1EUR";"100HUF";"1CHF";"1GBP";"1UAH";"100JPY";"1CZK";"1DKK";"100ISK";"1NOK";"1SEK";"1HRK";"1RON";"1BGN";"1TRY";"1ILS";"100CLP";"1PHP";"1MXN";"1ZAR";"1BRL";"1MYR";"1RUB";"10000IDR";"100INR";"100KRW";"1CNY";"1XDR"
2015-01-02;0,1084;3,5725;2,9093;0,4606;3,0637;2,7681;2,6897;4,3078;1,3512;3,5833;5,5296;0,2287;2,9671;0,1554;0,5788;2,7927;0,4761;0,4547;0,5618;0,9607;2,2025;1,5225;0,9104;0,589;0,0796;0,2415;0,3062;1,3443;1,0153;0,0588;2,8671;5,6474;0,3232;0,5722;5,1406
2015-01-05;0,1091;3,5975;2,9094;0,4638;3,0557;2,7601;2,6996;4,3008;1,3476;3,5792;5,5064;0,2303;2,9926;0,1553;0,5779;2,7909;0,4714;0,4528;0,5603;0,9563;2,1989;1,5383;0,9134;0,5863;0,0799;0,2422;0,3081;1,335;1,0166;0,0613;2,8643;5,6814;0,3241;0,5713;5,1322
2015-01-07;0,1105;3,6375;2,9327;0,4691;3,0646;2,8183;2,7213;4,3115;1,349;3,5898;5,4983;0,2326;3,0604;0,1559;0,5794;2,7951;0,4639;0,4573;0,5618;0,9587;2,2044;1,5619;0,916;0,59;0,0807;0,2444;0,3103;1,3471;1,0156;0,0577;2,8648;5,7433;0,3303;0,5727;5,186
2015-01-08;0,1109;3,6482;2,9595;0,4705;3,0879;2,8491;2,7285;4,2985;1,3535;3,5792;5,4919;0,2331;3,0467;0,154;0,5777;2,7885;0,4759;0,4577;0,56;0,958;2,1978;1,579;0,9169;0,5939;0,0811;0,2484;0,3129;1,3595;1,0243;0,0593;2,8476;5,832;0,3331;0,5852;5,1933
2015-01-09;0,1102;3,6252;2,9438;0,4676;3,058;2,8327;2,7091;4,2837;1,3479;3,5663;5,4835;0,232;3,0383;0,1531;0,5758;2,7843;0,4735;0,4513;0,558;0,955;2,1902;1,5738;0,917;0,5915;0,0807;0,2467;0,3122;1,361;1,0173;0,0589;2,8644;5,8155;0,3321;0,5844;5,1916
2015-01-12;0,1101;3,6218;2,9564;0,4671;3,0482;2,8134;2,7118;4,2782;1,3453;3,5623;5,4768;0,2318;3,04;0,1505;0,5751;2,7799;0,4687;0,4486;0,5572;0,9539;2,1874;1,5828;0,9174;0,5894;0,0806;0,2478;0,315;1,377;1,0149;0,0578;2,8607;5,8235;0,3339;0,5839;5,176
2015-01-13;0,1103;3,6252;2,9505;0,4675;3,0251;2,811;2,7122;4,2802;1,347;3,5639;5,4762;0,232;3,0576;0,1507;0,5753;2,7812;0,4699;0,4542;0,5572;0,9544;2,1884;1,5891;0,9212;0,5879;0,0809;0,2473;0,3151;1,3558;1,0087;0,0557;2,8621;5,8393;0,3345;0,5834;5,1803
2015-01-14;0,1113;3,6525;2,971;0,4709;3,0494;2,8221;2,7342;4,2885;1,341;3,5712;5,5407;0,2334;3,1206;0,152;0,5765;2,7947;0,4725;0,4519;0,5581;0,954;2,1927;1,5916;0,9263;0,5895;0,0818;0,2488;0,3158;1,3816;1,0163;0,0554;2,8879;5,8718;0,3375;0,5845;5,2011
2015-01-15;0,1117;3,6588;2,9968;0,4718;3,0665;2,8414;2,7642;4,2897;1,3339;4,1611;5,5616;0,2337;3,1281;0,1531;0,5768;2,7964;0,4723;0,4502;0,5581;0,9532;2,1933;1,6118;0,9397;0,5862;0,0824;0,2513;0,3194;1,4026;1,0274;0,0563;2,8887;5,9311;0,3405;0,5847;5,2072
2015-01-16;0,1138;3,7174;3,053;0,4795;3,0987;2,8978;2,8066;4,322;1,3453;4,255;5,6585;0,238;3,1931;0,1556;0,5814;2,8239;0,4826;0,4571;0,5619;0,9581;2,2098;1,6109;0,9507;0,5943;0,0834;0,2531;0,3218;1,4068;1,0449;0,057;2,9104;5,9974;0,3448;0,5891;5,2698
2015-01-19;0,114;3,7176;3,0504;0,4794;3,1063;2,8971;2,7917;4,3165;1,3565;4,2901;5,6355;0,238;3,1698;0,1549;0,5806;2,8231;0,4908;0,4586;0,5611;0,9587;2,207;1,5886;0,9436;0,5919;0,0834;0,2565;0,3206;1,4178;1,0409;0,0575;2,9067;6,0211;0,3443;0,5883;5,2989
2015-01-20;0,1141;3,7346;3,0638;0,4816;3,1201;2,8895;2,7923;4,3335;1,3601;4,2697;5,6595;0,2394;3,1573;0,1557;0,5829;2,8333;0,4911;0,4596;0,5627;0,9621;2,2157;1,5938;0,9514;0,5945;0,0837;0,2546;0,321;1,4081;1,0339;0,0574;2,9182;6,0528;0,3434;0,602;5,3197
2015-01-21;0,1146;3,7358;3,0565;0,4818;3,0879;2,8516;2,7966;4,3218;1,3686;4,316;5,6454;0,239;3,1731;0,1551;0,5812;2,8293;0,4886;0,4582;0,561;0,9582;2,2097;1,5939;0,9473;0,5938;0,0842;0,2546;0,3223;1,4286;1,0345;0,0567;2,9103;6,0619;0,3444;0,6016;5,3001
2015-01-22;0,1135;3,6994;2,9991;0,4771;2,9986;2,7965;2,7753;4,2997;1,3628;4,3092;5,6077;0,2367;3,1434;0,1539;0,5781;2,8075;0,4864;0,4545;0,5574;0,9553;2,1984;1,5713;0,9394;0,5888;0,0836;0,2512;0,3207;1,4223;1,0286;0,0568;2,9684;6,0001;0,3409;0,5964;5,2683
2015-01-23;0,1156;3,7687;2,9997;0,4862;3,0368;2,8164;2,8063;4,2354;1,3601;4,3223;5,6468;0,2405;3,1834;0,1522;0,569;2,7938;0,4865;0,4535;0,5499;0,9427;2,1655;1,6162;0,9493;0,6036;0,0855;0,2574;0,3301;1,464;1,0316;0,0588;2,9922;6,1285;0,348;0,5874;5,1882
2015-01-26;0,1154;3,7601;2,9781;0,4849;3,0179;2,8058;2,7974;4,2293;1,3569;4,2448;5,6432;0,2405;3,1824;0,1524;0,568;2,7916;0,4855;0,4523;0,5491;0,9438;2,1624;1,5905;0,9399;0,601;0,0852;0,2563;0,3286;1,4568;1,0422;0,0574;3,0231;6,1073;0,3475;0,5987;5,2922
2015-01-27;0,1148;3,7348;2,9697;0,4819;2,9968;2,7789;2,7836;4,2285;1,3527;4,1357;5,6357;0,2394;3,1624;0,1523;0,5678;2,7939;0,4811;0,452;0,5495;0,9457;2,162;1,5864;0,9375;0,5993;0,0848;0,2557;0,3234;1,4461;1,0375;0,0551;3,0021;6,0785;0,3466;0,6001;5,2793
2015-01-28;0,1145;3,7276;2,9803;0,4808;2,9977;2,785;2,7619;4,2348;1,36;4,1335;5,6619;0,2386;3,1636;0,1521;0,5689;2,8036;0,4829;0,4565;0,5506;0,9493;2,1652;1,579;0,9437;0,5978;0,0845;0,2547;0,3229;1,4488;1,0301;0,0554;3,0066;6,0744;0,3441;0,5976;5,2693
2015-01-29;0,1144;3,7418;2,9266;0,4827;2,9877;2,7346;2,7696;4,2344;1,3569;4,1007;5,6644;0,2396;3,1756;0,1524;0,5689;2,808;0,4808;0,4548;0,5502;0,953;2,165;1,5623;0,9508;0,6009;0,0848;0,2538;0,3229;1,4524;1,0305;0,0544;2,8659;6,066;0,3411;0,6011;5,2698
2015-01-30;0,1136;3,7204;2,8875;0,4799;2,9374;2,701;2,7523;4,2081;1,3527;4,0179;5,6089;0,2381;3,1624;0,1513;0,5653;2,7905;0,4775;0,4501;0,5466;0,9476;2,1515;1,5393;0,9449;0,5926;0,0843;0,2513;0,3206;1,4286;1,0225;0,0532;2,9562;5,9974;0,339;0,5936;5,2399
2015-02-02;0,1129;3,6801;2,8651;0,4745;2,8865;2,6717;2,719;4,1762;1,3418;3,9555;5,5204;0,2355;3,126;0,1505;0,561;2,774;0,477;0,4462;0,5422;0,9475;2,1353;1,5149;0,9353;0,5806;0,0833;0,2462;0,3171;1,3714;1,0109;0,0524;2,9042;5,9511;0,3338;0,5891;5,208
2015-02-03;0,113;3,6886;2,8262;0,4757;2,9317;2,6533;2,7267;4,1812;1,3495;3,9834;5,5395;0,2293;3,1426;0,1505;0,5617;2,7773;0,4847;0,4448;0,5424;0,9498;2,1378;1,5214;0,9381;0,5856;0,0836;0,2483;0,3207;1,3526;1,0242;0,0553;2,9087;5,974;0,3354;0,5896;5,2085
2015-02-04;0,1117;3,644;2,839;0,47;2,9274;2,6911;2,7078;4,1712;1,3495;3,9375;5,5332;0,2266;3,1083;0,1502;0,5604;2,7734;0,4826;0,4424;0,5409;0,9453;2,1327;1,5113;0,934;0,5826;0,0827;0,2479;0,3194;1,3529;1,0246;0,0554;2,8937;5,8924;0,3358;0,583;5,1694
2015-02-05;0,1123;3,6656;2,8632;0,4727;2,9287;2,7101;2,7195;4,1739;1,3525;3,9541;5,5853;0,2282;3,1237;0,1505;0,5607;2,7807;0,4821;0,4428;0,541;0,9464;2,1341;1,5024;0,9415;0,5841;0,0831;0,2474;0,3215;1,3365;1,0268;0,0542;2,8935;5,9276;0,3361;0,5875;5,1651
2015-02-06;0,1119;3,6395;2,853;0,4695;2,9258;2,7002;2,7053;4,1695;1,3612;3,954;5,5761;0,1467;3,1037;0,1504;0,5601;2,776;0,4866;0,4411;0,5405;0,9448;2,1318;1,4933;0,942;0,5835;0,0824;0,2465;0,3219;1,3259;1,0303;0,055;2,8905;5,8945;0,3341;0,5869;5,1731
2015-02-09;0,1128;3,6811;2,8719;0,4748;2,9444;2,7291;2,7203;4,176;1,3595;3,9861;5,6076;0,1472;3,1066;0,1508;0,561;2,7859;0,4831;0,4396;0,5411;0,9442;2,1351;1,4764;0,9493;0,5864;0,0829;0,2478;0,318;1,3229;1,0339;0,056;2,895;5,9234;0,3358;0,5888;5,1706
2015-02-10;0,1142;3,722;2,8919;0,4801;2,9805;2,754;2,7482;4,2017;1,3576;4,0192;5,6608;0,1487;3,1331;0,1515;0,5644;2,803;0,4904;0,445;0,5444;0,9481;2,1483;1,5;0,9576;0,5963;0,0839;0,251;0,3214;1,3439;1,0399;0,0568;2,9199;5,996;0,3405;0,5947;5,2526
2015-02-11;0,1136;3,7094;2,8806;0,4783;2,9459;2,7539;2,729;4,1999;1,3598;4,0068;5,6717;0,1485;3,096;0,1517;0,5643;2,8037;0,4897;0,4443;0,5438;0,9463;2,1474;1,4922;0,9616;0,592;0,0836;0,2482;0,3158;1,3085;1,0295;0,0561;2,9257;5,9569;0,336;0,5947;5,2331
2015-02-12;0,1129;3,6926;2,8375;0,476;2,9382;2,7208;2,714;4,1884;1,3604;3,9706;5,6254;0,1421;3,0862;0,1513;0,5625;2,7951;0,4817;0,4361;0,5424;0,9451;2,1415;1,4847;0,9504;0,586;0,0833;0,2457;0,3136;1,2866;1,023;0,057;2,8856;5,9292;0,3336;0,5914;5,2156
2015-02-13;0,112;3,6552;2,8294;0,4713;2,9196;2,7149;2,6959;4,1783;1,365;3,9383;5,6239;0,1414;3,0753;0,151;0,5613;2,7874;0,4815;0,4345;0,5415;0,9419;2,1363;1,4816;0,9422;0,5871;0,0825;0,2445;0,3118;1,2957;1,0225;0,0564;2,8687;5,8783;0,3322;0,5859;5,2045
2015-02-16;0,1125;3,6665;2,8503;0,4726;2,9467;2,7565;2,7009;4,1812;1,3621;3,9364;5,6465;0,1389;3,0917;0,1513;0,5617;2,7893;0,4857;0,4364;0,5422;0,9415;2,1378;1,4918;0,937;0,5926;0,0828;0,2463;0,315;1,2936;1,0239;0,0588;2,8697;5,8932;0,3329;0,5861;5,2003
2015-02-17;0,113;3,6788;2,8709;0,4742;2,9689;2,7702;2,7155;4,1904;1,361;3,9369;5,6539;0,1394;3,0983;0,1514;0,5629;2,7927;0,489;0,4394;0,543;0,9421;2,1426;1,5011;0,9499;0,592;0,0833;0,2474;0,316;1,3005;1,0287;0,0587;2,876;5,9161;0,3331;0,5906;5,2118
2015-02-18;0,1129;3,6784;2,8715;0,4741;2,964;2,7728;2,7049;4,1905;1,3608;3,9167;5,6774;0,1393;3,0868;0,1518;0,5629;2,7927;0,4894;0,4401;0,5424;0,9415;2,1425;1,4925;0,957;0,5935;0,0831;0,246;0,3142;1,2997;1,0158;0,0588;2,8712;5,9042;0,3306;0,5906;5,2002
2015-02-19;0,1126;3,6631;2,8432;0,4725;2,9344;2,7551;2,699;4,177;1,3662;3,8818;5,661;0,1348;3,0821;0,1524;0,5611;2,7828;0,4841;0,4376;0,541;0,9396;2,1356;1,5007;0,955;0,5914;0,0829;0,2458;0,3164;1,2915;1,0109;0,0592;2,86;5,9006;0,3301;0,5887;5,1921
2015-02-20;0,1133;3,6895;2,8915;0,4756;2,9645;2,7839;2,7135;4,18;1,3706;3,8781;5,6689;0,1361;3,1088;0,1523;0,5613;2,7876;0,4858;0,4379;0,5418;0,9402;2,1372;1,5028;0,9559;0,5954;0,0834;0,2462;0,3169;1,2871;1,0108;0,0596;2,8532;5,9303;0,3318;0,5891;5,1954
2015-02-23;0,1133;3,6933;2,8761;0,4761;2,9336;2,768;2,7102;4,1777;1,3666;3,8842;5,6751;0,1363;3,0967;0,1516;0,5601;2,7879;0,4855;0,437;0,5417;0,9385;2,136;1,4894;0,9564;0,5996;0,0833;0,2445;0,3148;1,2874;1,0134;0,0577;2,8713;5,9368;0,3327;0,5888;5,2188
2015-02-24;0,1134;3,6948;2,8623;0,4763;2,9221;2,7483;2,7137;4,1763;1,3657;3,8909;5,7057;0,1363;3,0913;0,1524;0,5602;2,7842;0,4845;0,4391;0,5416;0,9386;2,1353;1,4897;0,9385;0,593;0,0835;0,2444;0,3171;1,2835;1,0113;0,0584;2,8546;5,931;0,3317;0,5886;5,2144
2015-02-25;0,1127;3,6649;2,8905;0,4726;2,9447;2,7685;2,7064;4,1668;1,364;3,8653;5,6857;0,1094;3,0872;0,152;0,5584;2,7806;0,4835;0,4384;0,5421;0,9408;2,1304;1,4888;0,9313;0,5923;0,0833;0,2459;0,3206;1,2939;1,017;0,0588;2,8394;5,9091;0,3338;0,5859;5,1922
2015-02-26;0,113;3,6519;2,8879;0,471;2,9468;2,7759;2,7073;4,1542;1,3692;3,8628;5,6736;0,1307;3,0764;0,1515;0,5563;2,7759;0,4853;0,441;0,5401;0,939;2,124;1,474;0,9286;0,5918;0,0832;0,2458;0,3213;1,2705;1,0198;0,0607;2,8415;5,9118;0,3338;0,5841;5,176
2015-02-27;0,1144;3,698;2,893;0,4769;2,9648;2,7939;2,7203;4,1495;1,3699;3,8919;5,6924;0,1096;3,097;0,1508;0,5558;2,7812;0,4839;0,4436;0,54;0,9351;2,1216;1,4717;0,9293;0,5967;0,0838;0,2466;0,3202;1,2714;1,0244;0,0606;2,8836;5,986;0,3361;0,5903;5,1852
2015-03-02;0,1146;3,7053;2,8858;0,4777;2,9638;2,7933;2,717;4,1559;1,3693;3,8742;5,7134;0,1398;3,0916;0,151;0,5568;2,7873;0,483;0,4441;0,5411;0,9357;2,1249;1,4747;0,9275;0,6002;0,084;0,2482;0,3165;1,3049;1,0228;0,0598;2,8622;5,9819;0,3364;0,5921;5,2037
2015-03-03;0,115;3,719;2,9056;0,4797;2,969;2,8024;2,7276;4,1557;1,3643;3,8728;5,717;0,1488;3,1051;0,1514;0,5576;2,7825;0,4833;0,4476;0,5421;0,9327;2,1248;1,479;0,9312;0,6033;0,0844;0,2481;0,3173;1,2841;1,0249;0,0598;2,8621;6,0036;0,3388;0,5918;5,2074
